iteration;agentId;positionBefore;positionAfter;personalBest;personalBestFitness;globalBest;globalBestFitness;popAvgFitness;popStdDev;distToOptimum
1;39;[-0.1480307374,-11.0001528363];[3.0737646218,-11.0001528363];[3.0737646218,-11.0001528363];16.1628441836;[-2.7972668985,-1.7898916495];8.9034191639;17.3920213021;3.4546350472;3.3209056322
1;40;[6.7573778700,-5.9784134551];[5.1671896770,-5.9784134551];[5.1671896770,-5.9784134551];14.0721061925;[-2.7972668985,-1.7898916495];8.9034191639;17.3605039400;3.4155874283;3.3209056322
1;41;[6.7573778700,-0.6709647489];[2.6382825544,-0.6709647489];[2.6382825544,-0.6709647489];8.5384849467;[-2.7972668985,-1.7898916495];8.9034191639;17.2782939963;3.4114750566;3.3209056322
1;42;[1.7326056348,-11.0001528363];[3.2287842454,-11.0001528363];[3.2287842454,-11.0001528363];17.0033868737;[-2.7972668985,-1.7898916495];8.9034191639;17.0651279220;3.6293106042;3.3209056322
1;43;[-9.1583364880,-4.2820511242];[-9.1583364880,-4.2820511242];[-9.1583364880,-4.2820511242];16.7429353458;[-2.7972668985,-1.7898916495];8.9034191639;17.0636578970;3.5858565926;3.3209056322
1;44;[-14.1571286490,-4.5193371893];[-14.1571286490,-4.5193371893];[-14.1571286490,-4.5193371893];19.4713606486;[-2.7972668985,-1.7898916495];8.9034191639;17.0561992330;3.5442449450;3.3209056322
1;45;[-9.1583364880,-5.3329229856];[-9.1583364880,-4.4773132895];[-9.1583364880,-4.4773132895];17.1872402252;[-2.7972668985,-1.7898916495];8.9034191639;17.1110892652;3.5221776008;3.3209056322
1;46;[-8.3019078636,-4.2820511242];[-8.3019078636,-4.2820511242];[-8.3019078636,-4.2820511242];16.6102518287;[-2.7972668985,-1.7898916495];8.9034191639;17.1127815088;3.4828405150;3.3209056322
1;47;[-14.3347817214,8.3658869923];[-9.3461611256,8.3658869923];[-9.3461611256,8.3658869923];18.7852616037;[-2.7972668985,-1.7898916495];8.9034191639;17.1018569505;3.4455549769;3.3209056322
1;48;[-2.9358968678,-15.3063888825];[-2.9358968678,-4.4059018477];[-2.9358968678,-4.4059018477];12.2132666523;[-2.7972668985,-1.7898916495];8.9034191639;17.1376740708;3.4173481540;3.3209056322
1;49;[-1.7033183781,-13.5718037353];[-1.7033183781,-2.3758191931];[-1.7033183781,-2.3758191931];8.8840212290;[-2.7972668985,-1.7898916495];8.9034191639;17.0350822496;3.4539325400;3.3209056322
1;50;[-11.6187441559,1.6922031189];[-6.7481664504,0.9543398042];[-6.7481664504,0.9543398042];13.4836135919;[-2.7972668985,-1.7898916495];8.9034191639;16.8687340655;3.6075518329;3.3209056322
1;25;[23.9656498841,-0.8787943866];[9.6478796404,-0.8582713896];[9.6478796404,-0.8582713896];16.6197783495;[-2.7972668985,-1.7898916495];8.9034191639;16.7393304879;3.5786795273;3.3209056322
1;26;[-5.1791982342,8.7077546461];[0.6087752801,4.6535434579];[0.6087752801,4.6535434579];11.9091913730;[-2.7972668985,-1.7898916495];8.9034191639;16.6403550091;3.6419053264;3.3209056322
1;27;[13.0979361631,-12.1026346970];[7.7294875983,-8.5551060600];[7.7294875983,-8.5551060600];18.2159396416;[-2.7972668985,-1.7898916495];8.9034191639;16.6272896638;3.6350512275;3.3209056322
1;28;[4.6937083432,-8.4533385833];[3.9052216841,-2.8188362432];[3.9052216841,-2.8188362432];10.7318798574;[-2.7972668985,-1.7898916495];8.9034191639;16.4998901679;3.7266579789;3.3209056322
1;29;[24.3672413612,20.0363830583];[18.6387328812,2.2888060638];[18.6387328812,2.2888060638];20.6708666202;[-2.7972668985,-1.7898916495];8.9034191639;16.4868221514;3.7108297573;3.3209056322
1;12;[5.2445108307,16.5484919908];[4.9368491138,7.9210899820];[4.9368491138,7.9210899820];14.9134885431;[-2.7972668985,-1.7898916495];8.9034191639;16.3776997800;3.6750968678;3.3209056322
1;31;[7.6161800625,-8.2339852394];[7.5567869770,-7.7877037674];[7.5567869770,-7.7877037674];17.7036741022;[-2.7972668985,-1.7898916495];8.9034191639;16.3737754318;3.6735737902;3.3209056322
1;32;[-1.2730684830,-13.6539997856];[0.0532843826,-4.2316304463];[0.0532843826,-4.2316304463];10.0268392996;[-2.7972668985,-1.7898916495];8.9034191639;16.1914774909;3.7569071942;3.3209056322
1;33;[7.6161800625,2.2030885098];[1.6678823210,0.3353874442];[1.6678823210,0.3353874442];6.3899290528;[-2.7972668985,-1.7898916495];8.9034191639;16.0111926141;3.9988572235;3.3209056322
1;34;[3.8451417138,-8.2339852394];[-4.4422095853,-4.8901329277];[-4.4422095853,-4.8901329277];13.9397476517;[-2.7972668985,-1.7898916495];8.9034191639;15.9741278305;4.0092830663;3.3209056322
1;35;[14.9136133346,12.0077334453];[5.4929410719,8.6206816795];[5.4929410719,8.6206816795];17.5841118347;[-2.7972668985,-1.7898916495];8.9034191639;15.9486845037;3.9949228403;3.3209056322
1;36;[12.0345916966,24.8381999381];[12.0345916966,24.8381999381];[12.0345916966,24.8381999381];20.1948793748;[-2.7972668985,-1.7898916495];8.9034191639;15.9486845037;3.9949228403;3.3209056322
1;37;[14.9136133346,12.0077334453];[14.9136133346,12.0077334453];[14.9136133346,12.0077334453];18.8562781748;[-2.7972668985,-1.7898916495];8.9034191639;15.9486845037;3.9949228403;3.3209056322
1;38;[2.2194869237,9.3818178334];[2.2194869237,9.3818178334];[2.2194869237,9.3818178334];16.8415320282;[-2.7972668985,-1.7898916495];8.9034191639;15.9486845037;3.9949228403;3.3209056322
1;39;[3.0737646218,-11.0001528363];[4.8344511341,0.2723378541];[4.8344511341,0.2723378541];11.4333237719;[-2.7972668985,-1.7898916495];8.9034191639;15.8540940954;4.0444175747;3.3209056322
1;40;[5.1671896770,-5.9784134551];[5.1671896770,-5.9784134551];[5.1671896770,-5.9784134551];14.0721061925;[-2.7972668985,-1.7898916495];8.9034191639;15.8540940954;4.0444175747;3.3209056322
1;41;[2.6382825544,-0.6709647489];[2.6382825544,-0.6709647489];[2.6382825544,-0.6709647489];8.5384849467;[-2.7972668985,-1.7898916495];8.9034191639;15.8540940954;4.0444175747;3.3209056322
1;42;[3.2287842454,-11.0001528363];[3.2287842454,-11.0001528363];[3.2287842454,-11.0001528363];17.0033868737;[-2.7972668985,-1.7898916495];8.9034191639;15.8540940954;4.0444175747;3.3209056322
1;43;[-9.1583364880,-4.2820511242];[-2.5169551016,-2.2537004996];[-2.5169551016,-2.2537004996];9.7140276013;[-2.7972668985,-1.7898916495];8.9034191639;15.7135159405;4.1322825238;3.3209056322
1;44;[-14.1571286490,-4.5193371893];[-10.5858111150,-4.4914001706];[-10.5858111150,-4.4914001706];18.3897006718;[-2.7972668985,-1.7898916495];8.9034191639;15.6918827410;4.1153495864;3.3209056322
1;45;[-9.1583364880,-4.4773132895];[1.9270316106,-4.2658122520];[1.9270316106,-4.2658122520];10.9116683293;[-2.7972668985,-1.7898916495];8.9034191639;15.5663713031;4.1632482767;3.3209056322
1;46;[-8.3019078636,-4.2820511242];[-0.6119721433,-4.2803514703];[-0.6119721433,-4.2803514703];11.2461990217;[-2.7972668985,-1.7898916495];8.9034191639;15.4590902470;4.2038804727;3.3209056322
1;47;[-9.3461611256,8.3658869923];[-7.1958350292,-0.6480185062];[-7.1958350292,-0.6480185062];14.6427511396;[-2.7972668985,-1.7898916495];8.9034191639;15.3762400377;4.1782540306;3.3209056322
1;48;[-2.9358968678,-4.4059018477];[1.1974916995,-4.1699093670];[1.1974916995,-4.1699093670];10.3932941745;[-2.7972668985,-1.7898916495];8.9034191639;15.3398405881;4.2134295771;3.3209056322
1;49;[-1.7033183781,-2.3758191931];[-1.7033183781,-2.3758191931];[-1.7033183781,-2.3758191931];8.8840212290;[-2.7972668985,-1.7898916495];8.9034191639;15.3398405881;4.2134295771;3.3209056322
1;50;[-6.7481664504,0.9543398042];[0.9205110743,0.3634930221];[0.9205110743,0.3634930221];4.2121281208;[-2.7972668985,-1.7898916495];8.9034191639;15.1544108787;4.4862247765;3.3209056322
2;11;[11.8293397154,5.6155752317];[2.5781756364,0.0911499938];[2.5781756364,0.0911499938];7.8525404362;[0.9205110743,0.3634930221];4.2121281208;13.4206403697;4.8787186265;0.9896806631
2;16;[-1.2730684830,-13.6539997856];[2.2637665179,-3.6829958676];[2.2637665179,-3.6829958676];11.0854932176;[0.9205110743,0.3634930221];4.2121281208;13.1520989322;4.7770820979;0.9896806631
2;21;[10.2430165801,9.1756923558];[0.8342934482,-1.0495688006];[0.8342934482,-1.0495688006];4.1006051981;[0.9205110743,0.3634930221];4.2121281208;12.6695255004;4.9332893214;0.9896806631
2;50;[0.9205110743,0.3634930221];[0.9205110743,0.3634930221];[0.9205110743,0.3634930221];4.2121281208;[0.9205110743,0.3634930221];4.2121281208;12.6695255004;4.9332893214;0.9896806631
2;30;[7.6161800625,-8.2339852394];[10.0223453014,-7.0909142516];[10.0223453014,-7.0909142516];16.6961717002;[0.9205110743,0.3634930221];4.2121281208;12.6294015066;4.8953350542;0.9896806631
2;2;[12.0345916966,24.8381999381];[6.7901797861,13.9353838554];[6.7901797861,13.9353838554];18.6913731342;[0.9205110743,0.3634930221];4.2121281208;12.5792846320;4.8248138216;0.9896806631
2;22;[2.2194869237,9.3818178334];[1.5763184779,1.7351659213];[1.5763184779,1.7351659213];7.7492390266;[0.9205110743,0.3634930221];4.2121281208;12.2762081986;4.8331210770;0.9896806631
2;43;[-2.5169551016,-2.2537004996];[-2.5169551016,-2.2537004996];[-2.5169551016,-2.2537004996];9.7140276013;[0.9205110743,0.3634930221];4.2121281208;12.2762081986;4.8331210770;0.9896806631
2;25;[9.6478796404,-0.8582713896];[0.4725706230,4.9981533511];[0.4725706230,4.9981533511];11.8779776431;[0.9205110743,0.3634930221];4.2121281208;12.1181481750;4.7655509550;0.9896806631
2;1;[14.9136133346,12.0077334453];[14.9136133346,12.0077334453];[14.9136133346,12.0077334453];18.8562781748;[0.9205110743,0.3634930221];4.2121281208;12.1181481750;4.7655509550;0.9896806631
2;8;[-7.8060006713,0.3068872715];[2.6598505178,-0.9206154425];[2.6598505178,-0.9206154425];8.0995427347;[0.9205110743,0.3634930221];4.2121281208;11.8849573231;4.7852860710;0.9896806631
2;13;[1.7326056348,-0.6709647489];[1.7326056348,-0.6709647489];[1.7326056348,-0.6709647489];6.5935330425;[0.9205110743,0.3634930221];4.2121281208;11.8849573231;4.7852860710;0.9896806631
2;23;[-0.1480307374,-5.9784134551];[0.9452886882,-3.3082936910];[0.9452886882,-3.3082936910];9.0851994140;[0.9205110743,0.3634930221];4.2121281208;11.7904443590;4.8115772785;0.9896806631
2;32;[0.0532843826,-4.2316304463];[2.7026528466,0.6089062647];[2.7026528466,0.6089062647];8.6151499061;[0.9205110743,0.3634930221];4.2121281208;11.7433880459;4.8354387611;0.9896806631
2;17;[10.6153569611,13.4387617693];[6.0549412715,5.8022935125];[6.0549412715,5.8022935125];14.7283419314;[0.9205110743,0.3634930221];4.2121281208;11.5506464581;4.5912078585;0.9896806631
